Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Delta Time (s)	Inband Power (dB FS)	Species	Type	Certainty
85	Spectrogram 1	3	39815.708000000	39816.802816000	145.773	274.052	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100407/59710NSB02_002K_M05_multi_20100407_000000Zm0800.wav	215.7080	1.0948	-52.87	bowhead	song	H
86	Spectrogram 1	3	39822.866500000	39825.364927000	128.280	367.347	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100407/59710NSB02_002K_M05_multi_20100407_000000Zm0800.wav	222.8665	2.4984	-49.98	bowhead	end_unit	H
87	Spectrogram 1	3	39827.498500000	39829.940782000	134.111	396.501	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100407/59710NSB02_002K_M05_multi_20100407_000000Zm0800.wav	227.4985	2.4423	-50.05	bowhead	end_unit	H
88	Spectrogram 1	3	39845.408500000	39877.298529000	3.226	259.109	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100407/59710NSB02_002K_M05_multi_20100407_000000Zm0800.wav	245.4085	31.8900	-41.08	bowhead	song	L
89	Spectrogram 1	3	39853.914500000	39854.840883000	23.529	102.941	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100407/59710NSB02_002K_M05_multi_20100407_000000Zm0800.wav	253.9145	0.9264	-68.24	bowhead	non_song	M
90	Spectrogram 1	3	39857.395000000	39858.237166000	105.882	155.882	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100407/59710NSB02_002K_M05_multi_20100407_000000Zm0800.wav	257.3950	0.8422	-72.38	bowhead	pre_song	H
91	Spectrogram 1	3	39858.911000000	39859.416300000	120.588	158.824	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100407/59710NSB02_002K_M05_multi_20100407_000000Zm0800.wav	258.9110	0.5053	-68.75	bowhead	pre_song	H
92	Spectrogram 1	3	39874.137000000	39899.935359000	67.055	434.402	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100407/59710NSB02_002K_M05_multi_20100407_000000Zm0800.wav	274.1370	25.7984	-59.44	bowhead	song	H
93	Spectrogram 1	3	39874.323000000	39878.730337000	132.353	358.824	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100407/59710NSB02_002K_M05_multi_20100407_000000Zm0800.wav	274.3230	4.4073	-56.49	bowhead	song	H
94	Spectrogram 1	3	39882.756000000	39886.826470000	163.265	332.362	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100407/59710NSB02_002K_M05_multi_20100407_000000Zm0800.wav	282.7560	4.0705	-56.69	bowhead	song	H
95	Spectrogram 1	3	39889.409000000	39891.037188000	206.997	262.391	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100407/59710NSB02_002K_M05_multi_20100407_000000Zm0800.wav	289.4090	1.6282	-63.14	bowhead	song	H
96	Spectrogram 1	3	39890.251500000	39890.953305000	154.519	192.420	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100407/59710NSB02_002K_M05_multi_20100407_000000Zm0800.wav	290.2515	0.7018	-63.18	bowhead	song	H
97	Spectrogram 1	3	39893.704500000	39894.995822000	169.096	215.743	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100407/59710NSB02_002K_M05_multi_20100407_000000Zm0800.wav	293.7045	1.2913	-60.36	bowhead	song	H
98	Spectrogram 1	3	39897.438000000	39898.280166000	139.942	247.813	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100407/59710NSB02_002K_M05_multi_20100407_000000Zm0800.wav	297.4380	0.8422	-60.65	bowhead	song	H
99	Spectrogram 1	3	43208.169000000	43209.011166000	200.000	238.806	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100407/59710NSB02_002K_M05_multi_20100407_010000Zm0800.wav	8.1690	0.8422	-72.44	bowhead	non_song	H
100	Spectrogram 1	3	43220.156000000	43220.633228000	128.358	200.000	/Volumes/T174/audio/2010/2010_NSB-DWM_PointBarrowAK_59710/59710_NSB02_20100406/59710_NSB02_WAV/59710_NSB02_AKDST_20100407/59710NSB02_002K_M05_multi_20100407_010000Zm0800.wav	20.1560	0.4772	-67.93	bowhead	non_song	H
